company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
Wise Equation Solutions,Data Scientist,No,Austin, TX,Small,Private,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD),0,4.9,0,0,0,0,0,1,data scientist,mid,107,16
HunaTek Government Solutions,Data Scientist,No,Stafford, VA,Small,Private,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,0,4,1,1,0,0,1,1,data scientist,Senior,539,
Virginia Tech Applied Research Corporation,Junior Data Scientist,No,Arlington, VA,Small,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,2012,$5 to $25 million (USD),0,3.4,1,0,0,0,0,0,data scientist,junior,447,10
Stefanini,Data Scientist,No,Durham, NC,Large,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1987,$1 to $5 billion (USD),1,3.7,1,0,1,1,0,1,data scientist,mid,465,35
TikTok,"Data Scientist - Tiktok Ads, Growth Marketing",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,0,data scientist,Senior,540,6
"City of Grand Junction, Colorado",Data Scientist,No,Grand Junction, CO,Small,Government,Government & Public Administration,National Agencies,,Unknown / Non-Applicable,0,3.7,0,0,0,0,1,1,data scientist,Senior,839,
Snowflake,Sr. Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,1,data scientist,Senior,349,10
ASK Consulting,Data Scientist (Hybrid),No,Township of Lawrence,,Small,Private,Human Resources & Staffing,HR Consulting,1995,$25 to $100 million (USD),0,3.7,1,0,0,0,1,1,data scientist,junior,183,27
Deloitte,Senior Data Scientist,No,Austin, TX,Large,Private,Financial Services,Accounting & Tax,1850,$10+ billion (USD),0,4,1,1,0,0,1,1,data scientist,Senior,685,172
Keystone Strategy,Data Scientist,No,Boston, MA,Small,Private Practice / Firm,Management & Consulting,Business Consulting,2003,$25 to $100 million (USD),0,3.6,0,0,0,1,1,1,data scientist,Senior,344,19
Lakeland Regional Health,Data Scientist II - Data Scientist - Analytics,Yes,Remote,,Medium,Nonprofit Organization,Healthcare,Health Care Services & Hospitals,1916,$1 to $5 billion (USD),0,3.6,1,1,0,1,0,0,data scientist,Senior,628,106
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,462,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,467,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,616,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,626,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,910,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,547,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,462,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,465,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,616,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,626,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,910,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,549,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,460,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,467,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,616,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,628,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,913,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,547,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,462,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,467,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,616,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,628,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,913,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,549,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,462,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,467,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,614,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,628,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,913,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,549,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
I28 Technologies,Jr Data Science-333318,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,1,other,junior,88,
Mars,Data Scientist - Role can be remote,No,Chicago, IL,Large,Private,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),0,4.3,1,1,1,1,1,1,data scientist,junior,460,111
Abbott Laboratories,Data Scientist 1,No,Abbott Park, IL,Large,Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),0,3.8,1,0,0,0,0,1,data scientist,Senior,467,134
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data scientist,Senior,616,6
Ancestry,"Data Scientist, CV/NLP",No,San Francisco, CA,Medium,Private,Information Technology,Internet & Web Services,1985,$1 to $5 billion (USD),0,3.7,1,0,0,1,1,1,data scientist,Senior,606,37
Interclypse Inc,Data Scientist - All Levels,No,Annapolis Junction, MD,Small,Private,Information Technology,Software Development,2007,$5 to $25 million (USD),0,4.5,1,1,1,1,1,1,data scientist,Senior,583,15
Cisco Systems,Data Scientist,No,Research Triangle Park, NC,Large,Public,Information Technology,Enterprise Software & Network Solutions,1984,$10+ billion (USD),0,4.3,1,1,0,1,1,1,data scientist,Senior,628,38
Barclays,Data Scientist,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,561,332
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Bayer,Genomic Data Scientist - 115k/yr,Yes,Remote,,Small,Private,Human Resources & Staffing,HR Consulting,1977,Unknown / Non-Applicable,0,4.4,1,0,0,1,0,1,data scientist,Senior,248,45
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,910,70
LPL Financial,Data Scientist,No,South Carolina,,Medium,Public,Financial Services,Investment & Asset Management,1968,$1 to $5 billion (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,328,54
Dianthus,Data Scientist,No,New York, NY,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,1,0,1,1,data scientist,Senior,238,
Ingress IT Solution,Data Scientist,Yes,Remote,,,,,,,,1,,0,0,0,0,0,1,data scientist,mid,57,
Net2Aspir,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,133,
MultiPlan Inc.,Data Scientist (remote),Yes,Remote,,Medium,Public,Healthcare,Health Care Services & Hospitals,1980,Unknown / Non-Applicable,0,3.8,1,0,0,1,0,1,data scientist,mid,658,42
YES Communities,Analyst - Junior Data Scientist,No,Greenwood Village, CO,Medium,Private,Real Estate,Real Estate,2008,$100 to $500 million (USD),0,4,1,0,0,0,1,0,data analyst,junior,419,14
Verily,"Data Scientist, Viral Genomics",No,South San Francisco, CA,Medium,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,549,7
Snowflake,Data Scientist,No,San Mateo, CA,Medium,Public,Information Technology,Enterprise Software & Network Solutions,2012,$1 to $5 billion (USD),0,4.3,1,0,0,0,1,0,data scientist,Senior,355,10
Scey,Data Scientist/Meteorologist,No,Moriarty, NM,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,378,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
