company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
Federal Reserve Bank of New York,Data Scientist,No,New York, NY,Medium,Private,Financial Services,Banking & Lending,1914,$10+ billion (USD),0,4.5,0,0,0,0,1,1,data scientist,Senior,920,108
Kellogg Company,Lead Data Scientist,No,Battle Creek, MI,Large,Public,Manufacturing,Food & Beverage Manufacturing,1906,$10+ billion (USD),0,3.8,1,0,0,1,0,0,data scientist,Senior,607,116
Talent Group,Data scientist@ Remote Contract,Yes,Remote,,Small,Public,Media & Communication,Broadcast Media,,Less than $1 million (USD),1,1,1,1,0,0,0,1,data scientist,mid,115,
AT&T,Professional-Data Scientist,No,Bothell, WA,Large,Public,Telecommunications,Telecommunications Services,1983,$10+ billion (USD),0,3.7,1,1,0,0,0,1,data scientist,Senior,499,39
Anheuser-Busch,"GLOBAL MGR., DATA SCIENTIST",No,New York, NY,Large,Public,Manufacturing,Food & Beverage Manufacturing,1852,$10+ billion (USD),0,3.8,0,0,0,0,0,0,data scientist,Senior,55,170
"US News & World Report ,L.P.",Health Data Scientist (Remote),No,Washington, DC,Small,Private,Media & Communication,Publishing,1933,$100 to $500 million (USD),0,3.8,0,0,0,0,0,0,data scientist,Senior,328,89
T-Mobile,Junior Data Scientist,No,Bellevue, WA,Large,Public,Telecommunications,Telecommunications Services,2001,$10+ billion (USD),0,3.8,0,0,0,0,1,0,data scientist,junior,639,21
Roku,"Data Scientist, Analytics",No,San Jose, CA,Medium,Public,Information Technology,Information Technology Support Services,2002,$500 million to $1 billion (USD),0,4.4,1,0,0,0,1,0,data scientist,Senior,551,20
Violet Ink,Data Scientist,Yes,Remote,,Small,Public,Information Technology,Information Technology Support Services,2007,Unknown / Non-Applicable,1,4.2,1,1,1,1,0,1,data scientist,mid,179,15
ADG Tech Consulting,Data Scientist,Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,,$5 to $25 million (USD),1,4.2,1,0,1,0,1,1,data scientist,Senior,218,
Slack,"Staff Data Scientist, Customer Experience",Yes,Remote,,Medium,Public,Information Technology,Internet & Web Services,2014,Unknown / Non-Applicable,0,4.5,1,1,0,0,0,1,data scientist,mid,548,8
IBM,2023 Entry Level Associate Data Engineer - Advanced Analytics,No,Baton Rouge, LA,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,1,1,1,0,1,data engineer,junior,925,111
Allscripts,Data Scientist - Fully Remote,No,Boston, MA,Medium,Public,Information Technology,Computer Hardware Development,1986,$1 to $5 billion (USD),0,3.9,1,1,1,0,0,1,data scientist,junior,473,36
The Trade Desk,Data Scientist I,No,New York, NY,Medium,Public,Information Technology,Internet & Web Services,2009,$1 to $5 billion (USD),0,4.2,1,1,0,1,0,1,data scientist,Senior,616,13
